Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
25	2.173429	1.17775	4.0409813	0.2	184.5	-0.01864641	0.13574934	2.297819	0.0108065875	0.24878049	0.55	0.0	0.3	0.2	2.4238706	157.0	165.5	3.4166667	19.0	0.0	8.588463	7.2916665	138.0397880077362
26	2.8682506	1.0291488	3.9244444	0.2	167.54167	-0.01660562	0.18816893	2.310639	0.016746907	0.29050004	0.6	0.05	0.41500002	0.2	2.6430614	150.0	146.75	4.1666665	20.791666	0.0	6.616192	7.6666665	154.19326066970825
27	2.676081	1.1654543	4.2299566	0.85	178.75	-0.00873538	0.15236878	2.1191652	0.008927445	0.32555556	0.65000004	0.0	0.4318182	0.2	2.5374198	112.0	159.95833	3.75	18.791666	0.0	9.025865	7.0	147.8539981842041
28	1.7952574	0.8784086	3.8888888	0.2	196.29167	-0.017635075	0.1156851	2.102296	0.005509284	0.22291666	0.5	0.0	0.2777778	0.2	2.711544	147.0	177.75	3.0	18.541666	0.0	8.66037	6.125	135.9385221004486
29	2.0938296	1.2532036	3.9791124	0.0	173.58333	-0.016476175	0.12992574	1.8789377	0.008247643	0.23717952	0.45000002	0.0	0.35	0.2	2.7012622	134.0	157.16667	3.25	16.416666	0.0	9.192267	5.8333335	142.42965984344482
30	1.9003911	0.7744735	3.1803174	0.52	200.0	-0.015126445	0.102864586	1.8017969	-0.000625592	0.2786667	0.5	0.05	0.36875	0.1	2.6425323	166.0	184.58333	3.125	15.416667	0.0	12.6229515	5.9583335	137.80508279800415
31	1.57971	0.8113568	2.944351	0.2	200.0	-0.017490603	0.09965945	1.8954061	-0.0011789266	0.28030303	0.6	0.05	0.42142862	0.25	2.5434232	136.0	185.91667	2.75	14.083333	0.0	16.69822	5.9583335	135.27218866348267
32	1.4994205	1.189765	3.9940243	0.0	195.83333	-0.00716037	0.12735377	1.8307759	0.0024517563	0.23688525	0.65000004	0.05	0.37222224	0.3	2.4868252	134.0	183.04167	2.5416667	12.791667	0.0	21.028513	5.2916665	130.13579559326172
33	0.4816946	0.65507376	2.5856209	0.0	200.0	-0.014007677	0.13486579	1.8989884	0.027757928	0.2840909	0.55	0.05	0.34444442	0.3	2.5130677	136.0	193.16667	0.9166667	6.8333335	0.0	52.836933	2.375	107.20528936386108
34	0.09370371	0.17420444	0.52	0.0	200.0	-0.0030818982	0.12780447	1.6705176	0.026859691	0.125	0.15	0.05	0.116666675	0.35	2.658939	149.0	199.45833	0.25	0.5416667	0.0	33.15972	0.5	92.85886740684509
