Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.4672422	0.6851576	4.3237667	0.89411765	126.416664	-0.011025508	0.045265883	2.2284656	-0.0071021765	0.19035089	0.5	0.0	0.3375	0.3	2.367442	202.0	99.5	4.75	26.916666	0.0	3.7113955	8.125	146.62025785446167
2	3.4407952	0.46541613	4.0363398	2.2941177	149.70833	0.0030783191	0.03194814	2.5029764	-0.019851685	0.2232456	0.55	0.05	0.36666667	0.15	2.595115	321.0	111.625	4.75	38.083332	0.0	2.9838345	8.666667	144.4732060432434
3	3.4738007	0.553512	4.1666665	2.2444444	131.20833	-0.007357776	0.12520391	2.4966736	-0.0073040347	0.20043479	0.5	0.05	0.36	0.2	2.3233204	197.0	92.666664	4.7916665	38.541668	0.0	2.4413743	8.416667	142.40133142471313
4	3.269973	0.8591494	4.163187	0.9263158	123.458336	0.016043773	0.09338513	2.6227868	-0.031700205	0.2472477	0.55	0.05	0.35714287	0.15	2.5171788	224.0	82.75	4.5416665	40.708332	0.0	1.9964012	8.5	142.8608741760254
5	3.6294997	0.41589504	4.2320447	2.3777778	131.875	-0.010398598	0.15839271	2.6875045	-0.017145727	0.18135594	0.45000002	0.0	0.275	0.2	2.5500598	221.0	92.875	4.9166665	39.0	0.0	2.379659	8.625	152.0836672782898
6	3.3608427	0.74476206	4.0971427	1.4888889	139.75	-0.014587331	0.19831373	2.57247	-0.0109179765	0.2263393	0.5	0.0	0.32142857	0.3	2.177821	166.0	106.875	4.6666665	32.875	0.0	3.242015	8.458333	145.33965587615967
7	3.398277	0.6742122	4.186842	1.6915033	144.08333	-0.04378481	0.20011663	2.4995167	-0.018710256	0.17610621	0.45000002	0.0	0.30714288	0.15	2.613349	310.0	116.166664	4.7083335	27.916666	0.0	4.206917	8.666667	156.11387085914612
8	3.114835	1.0403981	4.390476	0.2	146.91667	-0.039845824	0.21669315	2.5431368	-0.017604804	0.19198114	0.45000002	0.0	0.29999998	0.15	2.711637	130.0	119.75	4.4166665	27.166666	0.0	4.4439044	8.25	149.98334431648254
9	2.392453	1.0264086	3.9267974	0.0	189.875	-0.004489342	0.1361321	2.3684866	-0.057259906	0.19157305	0.5	0.0	0.28181818	0.1	2.626741	249.0	163.66667	3.7083333	26.208334	0.0	6.7949677	7.8333335	143.79528880119324
10	2.1601045	1.0603188	4.0429826	0.6	189.79167	-0.011694841	0.08408454	2.1311178	-0.03822259	0.2054878	0.4	0.0	0.29999998	0.2	2.5537617	147.0	174.5	3.4166667	15.291667	0.0	12.411648	7.125	141.2504427433014
