Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
24	3.6609192	0.4308461	4.383935	2.5983193	83.208336	0.008987206	0.36952338	1.1108905	0.20008461	0.25466102	0.65000004	0.0	0.37142858	0.2	2.446273	310.0	71.208336	4.9166665	12.0	0.0	5.776743	5.625	144.14914631843567
25	3.7156038	0.3791613	4.3357143	2.6833334	86.0	0.02623188	0.25470755	1.1776767	0.017445143	0.30211866	0.6	0.05	0.4125	0.3	2.488463	394.0	74.916664	4.9166665	11.083333	0.0	7.058501	5.5	146.14257335662842
26	3.8837545	0.2658819	4.3855553	3.3066666	74.625	0.02028349	0.25387406	1.2583269	-0.012173404	0.28208336	0.65000004	0.05	0.34545454	0.2	2.61789	234.0	65.958336	5.0	8.666667	0.0	7.867815	5.5	146.83706307411194
27	3.689162	0.23424506	4.2580667	3.25	85.833336	-0.005919304	0.2738608	1.2972063	-0.0033137	0.22458334	0.5	0.0	0.29999998	0.2	2.52415	347.0	77.916664	5.0	7.9166665	0.0	10.259805	5.2083335	145.1211874485016
28	3.4143298	0.9099769	4.137367	1.0915033	111.625	0.01909733	0.19394247	1.0927677	-0.020301893	0.2626126	0.6	0.0	0.4	0.15	2.7106655	303.0	104.5	4.625	7.125	0.0	13.495448	4.75	139.9909348487854
29	3.2440062	1.0746832	4.307253	0.0	137.375	0.047502175	0.13664363	0.9433686	-0.037187535	0.29198113	0.6	0.0	0.4357143	0.2	2.5447698	260.0	130.08333	4.4166665	7.2916665	0.0	16.803347	4.8333335	146.7904770374298
30	3.2600288	0.8717983	4.576827	1.4571428	155.83333	0.013364409	0.13157123	0.8041587	-0.020003159	0.2773585	0.55	0.05	0.35555556	0.15	2.7542346	309.0	148.58333	4.4166665	7.25	0.0	20.04489	4.625	148.15803623199463
31	3.5230057	0.66153765	4.3807693	1.3032967	137.75	0.0124470005	0.12627347	0.8484461	-0.009532066	0.2741228	0.7	0.05	0.40499997	0.4	2.2679567	279.0	129.83333	4.75	7.9166665	0.0	15.402503	5.0416665	151.347651720047
32	3.0170295	1.0800335	4.265112	0.2	158.16667	0.021122253	0.0860162	0.6357581	-0.018393563	0.269802	0.6	0.05	0.385	0.35	2.3401132	272.0	151.79167	4.2083335	6.375	0.0	22.75567	4.5	152.18591618537903
33	3.5763752	0.84042776	4.437427	0.6	124.625	-0.026700566	0.12679932	0.73906165	0.021735005	0.33616072	0.6	0.05	0.39999998	0.3	2.3403983	307.0	117.125	4.6666665	7.5	0.0	16.35528	5.0	151.73785996437073
34	3.4095337	0.64041644	4.2852287	1.7763158	129.95833	0.003237086	0.13511787	0.8195346	0.04499798	0.2823009	0.65000004	0.05	0.48125	0.2	2.5867782	282.0	121.666664	4.7083335	8.291667	0.0	15.022275	4.9583335	149.02914881706238
35	3.153001	0.75834626	4.1380954	1.55	152.91667	-0.009516415	0.10964329	0.6958046	0.009814606	0.27149534	0.6	0.1	0.37857145	0.2	2.3938782	381.0	144.875	4.4583335	8.041667	0.0	19.063688	4.75	151.95931720733643
36	3.6956217	0.56741244	4.2322307	1.8497738	119.208336	-0.009360858	0.14524311	0.86305666	-0.005609629	0.29827586	0.55	0.05	0.4	0.3	2.3625329	212.0	110.791664	4.8333335	8.416667	0.0	13.297429	5.25	155.906756401062
37	3.3409727	0.83915704	4.1887717	1.568421	140.79167	-0.00081984047	0.16704585	0.9040134	0.0021751483	0.2577273	0.6	0.0	0.325	0.25	2.4263947	290.0	132.25	4.5833335	8.541667	0.0	15.218674	4.75	149.34153485298157
38	2.7910411	1.0188613	3.9619658	0.2	179.58333	0.005571304	0.08607701	0.7179897	-0.020809932	0.24387756	0.6	0.0	0.33499998	0.2	2.2586975	243.0	171.41667	4.0833335	8.166667	0.0	19.379976	4.2916665	149.975683927536
39	2.810436	1.0431263	4.5112863	0.84444445	177.625	-0.007335724	0.08439218	0.6329671	-0.011022097	0.28418368	0.55	0.05	0.41666666	0.2	2.7254775	293.0	171.20833	4.0833335	6.4166665	0.0	29.246645	4.2916665	148.08680653572083
40	2.353667	1.0694264	4.1688976	0.2	189.625	0.0025889308	0.05963828	0.5083448	-0.009822586	0.29821432	0.55	0.05	0.36999997	0.15	2.393686	320.0	184.25	3.5	5.375	0.0	30.728273	3.7083333	141.98014736175537
41	1.6384641	1.046883	4.099248	0.2	196.45833	-0.00015239394	0.043956045	0.4919782	-0.007352699	0.25	0.55	0.0	0.39166665	0.35	2.3869488	216.0	191.41667	2.6666667	5.0416665	0.0	34.282024	3.0	131.84058475494385
42	1.4591898	1.003234	4.0718956	0.0	192.375	-0.0043871882	0.06467848	0.5775297	-0.0048624063	0.28833336	0.6	0.0	0.36428574	0.25	2.2331424	180.0	188.5	2.5	3.875	0.0	28.532639	2.5416667	129.49090433120728
43	2.4470494	1.4517157	4.478205	0.2	180.95833	0.006278137	0.080425106	0.7721526	-0.013019044	0.29761907	0.6	0.05	0.3	0.3	2.264978	204.0	175.875	3.5	5.0833335	0.0	40.19132	3.625	138.31451749801636
44	1.764236	1.1472436	3.8333333	0.0	194.0	0.011394846	0.08263579	0.6897728	-0.0023957288	0.2432836	0.55	0.0	0.33	0.4	2.3844008	246.0	190.25	2.7916667	3.75	0.0	48.281147	2.9166667	137.57952332496643
45	2.8655603	1.0360794	4.4741178	0.96	181.5	0.0059088985	0.084703386	0.7969356	-0.0049553136	0.2647369	0.7	0.0	0.33125	0.15	2.4598699	271.0	174.45833	3.9583333	7.0416665	0.0	25.626383	4.0833335	147.12780952453613
46	2.0733757	1.073494	3.9613347	0.44210526	190.79167	0.0029884595	0.088906534	0.7624808	-0.0011833395	0.25617284	0.55	0.0	0.36363637	0.25	2.252113	204.0	184.375	3.375	6.4166665	0.0	28.588196	3.625	140.00690031051636
47	2.299444	1.254207	4.117193	0.0	178.70833	-0.004332527	0.06663519	0.6582454	-0.010321617	0.24825582	0.5	0.0	0.35	0.2	2.4975395	206.0	169.875	3.5833333	8.833333	0.0	16.663137	3.875	140.21412801742554
48	2.261642	1.2719065	4.163944	0.2	178.625	-0.00033028223	0.07080973	0.6741865	0.002809774	0.3049383	0.6	0.0	0.38636363	0.35	2.3032126	230.0	169.66667	3.375	8.958333	0.0	16.649977	3.6666667	141.34460711479187
49	2.5133839	0.95257026	4.015873	0.85714287	187.29167	0.019489491	0.067790605	0.79511786	0.008520609	0.2623596	0.55	0.05	0.35999998	0.4	2.2998276	175.0	176.125	3.7083333	11.166667	0.0	16.406622	4.0	141.9820749759674
50	2.152035	1.2480453	4.161039	0.2	178.45833	0.0058697127	0.07260904	0.8130265	0.014223392	0.29312497	0.6	0.0	0.38125002	0.4	2.2465801	225.0	171.125	3.3333333	7.3333335	0.0	27.595697	3.875	135.1131842136383
51	2.0888603	1.1901376	4.2384124	0.0	192.95833	0.006761983	0.0825249	0.9582426	0.01339572	0.31	0.6	0.0	0.41666666	0.35	2.3390977	220.0	186.0	3.125	6.9583335	0.0	20.526936	3.625	138.8933389186859
52	1.481637	0.89739674	4.113333	0.0	197.91667	-0.0057276622	0.09804974	1.0997795	0.035432626	0.27786887	0.5	0.05	0.32500002	0.2	2.318214	224.0	192.66667	2.5416667	5.25	0.0	24.506567	2.8333333	130.3220875263214
