Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Acc	MaxAcc	MinAcc	MaxTrialAcc	MaxMaxTrialAcc	MinMaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.4520051	0.68640494	3.9356863	0.52	120.083336	0.19385965	0.55	0.0	0.32	0.55	0.1	0.3	2.289791	342.0	110.791664	4.75	9.291667	0.0	11.07232	5.5416665	171.9837019443512
2	3.008763	0.95761204	4.2209034	1.4444444	140.20833	0.23701923	0.55	0.05	0.37857142	0.55	0.25	0.4	2.2798095	322.0	131.0	4.3333335	9.208333	0.0	10.777814	5.3333335	161.52352452278137
3	2.9009063	1.2602215	4.0055556	0.2	137.625	0.2642857	0.5	0.0	0.3611111	0.5	0.2	0.25	2.4376836	365.0	127.958336	4.0833335	9.666667	0.0	10.707475	5.7916665	159.06456851959229
4	3.1823833	0.99124104	4.3165636	0.84210527	124.25	0.17870371	0.45000002	0.0	0.29000002	0.45000002	0.15	0.15	2.4366374	382.0	114.291664	4.5	9.958333	0.0	10.809115	5.8333335	159.3480360507965
5	3.15148	1.1667869	4.1819606	0.0	119.5	0.25728154	0.55	0.0	0.37857142	0.55	0.05	0.25	2.4650607	343.0	110.875	4.2916665	8.625	0.0	11.803146	5.0416665	152.65514993667603
6	3.094081	1.172093	4.0712695	0.0	131.875	0.22326733	0.55	0.05	0.31666666	0.55	0.05	0.35	2.5423605	371.0	123.833336	4.2083335	8.041667	0.0	9.750855	4.8333335	158.21625208854675
7	2.5899923	1.4286296	4.1459475	0.0	139.0	0.2297753	0.5	0.0	0.35	0.5	0.15	0.15	2.563437	314.0	130.5	3.7083333	8.5	0.0	8.2404375	4.8333335	140.75398778915405
8	3.327863	0.87342983	4.25817	0.5411765	121.916664	0.2368182	0.5	0.0	0.38	0.5	0.15	0.15	2.6720777	342.0	111.375	4.5833335	10.541667	0.0	15.833573	5.6666665	154.53542733192444
9	3.023198	1.0803795	3.8585973	0.0	127.375	0.20288461	0.5	0.0	0.30555555	0.5	0.1	0.25	2.58243	316.0	117.25	4.3333335	10.125	0.0	11.511563	5.75	153.53844237327576
10	2.844509	1.1935239	4.1537256	0.0	153.875	0.22602041	0.45000002	0.05	0.30714282	0.45000002	0.1	0.25	2.355632	341.0	143.66667	4.0833335	10.208333	0.0	10.913766	5.4583335	147.3760688304901
11	3.244725	1.0840169	4.3609524	0.2	126.833336	0.24150945	0.6	0.05	0.35000002	0.6	0.1	0.05	2.8174267	307.0	116.958336	4.4166665	9.875	0.0	10.234595	5.7083335	150.06877613067627
12	2.8849573	1.1528512	4.3187957	0.84210527	132.625	0.2611111	0.5	0.0	0.2857143	0.5	0.05	0.25	2.4198828	353.0	123.333336	4.125	9.291667	0.0	10.140995	5.1666665	150.471830368042
13	3.4325035	0.88604057	4.3600826	0.89411765	113.291664	0.23272727	0.6	0.05	0.35000002	0.6	0.1	0.25	2.2639308	316.0	103.458336	4.5833335	9.833333	0.0	10.839192	5.625	157.11870694160461
14	3.0910265	1.0682839	4.1052046	0.6	120.25	0.2737864	0.55	0.05	0.31666666	0.55	0.1	0.25	2.5046344	371.0	112.208336	4.2916665	8.041667	0.0	10.145795	5.2083335	153.32095050811768
15	3.1900604	0.864338	4.4364147	1.1312693	141.04167	0.2533019	0.6	0.0	0.35000005	0.6	0.15	0.25	2.4083512	296.0	131.66667	4.4166665	9.375	0.0	15.094566	5.4166665	157.49631261825562
16	3.0414944	1.1340692	4.3879123	0.2	137.08333	0.2598039	0.55	0.0	0.36250004	0.55	0.1	0.2	2.403025	298.0	128.29167	4.25	8.791667	0.0	14.924146	5.2083335	157.16804122924805
17	3.2436416	0.97391325	3.9919608	0.0	129.79167	0.23971966	0.5	0.0	0.33571428	0.5	0.2	0.2	2.4638464	332.0	119.875	4.4583335	9.916667	0.0	10.175373	5.75	159.41595578193665
18	3.2692242	0.95862657	4.320289	0.96	138.16667	0.2901869	0.6	0.05	0.37142864	0.6	0.2	0.2	2.5502207	368.0	128.66667	4.4583335	9.5	0.0	13.095196	5.5416665	152.91008687019348
19	2.9504395	1.2811145	4.3523808	0.2	143.41667	0.29848483	0.6	0.05	0.36875	0.6	0.15	0.25	2.432255	360.0	133.75	4.125	9.666667	0.0	12.752975	5.4166665	151.79881691932678
20	3.211135	1.0165262	4.0342855	0.48	134.0	0.28820756	0.6	0.0	0.38076922	0.6	0.1	0.2	2.398275	360.0	123.833336	4.4166665	10.166667	0.0	10.73568	5.5416665	157.997629404068
21	3.3805532	1.169667	4.595471	0.0	124.0	0.33349055	0.7	0.05	0.46875	0.7	0.15	0.2	2.4550185	316.0	114.833336	4.4166665	9.166667	0.0	10.153437	5.375	158.46986746788025
22	3.272013	0.77719027	4.003077	1.1385621	126.0	0.2877273	0.7	0.0	0.41111115	0.7	0.15	0.3	2.5917938	283.0	115.916664	4.5833335	10.083333	0.0	9.613882	5.7916665	157.51229429244995
23	2.8631332	1.2932879	4.2733335	0.0	144.95833	0.29999998	0.55	0.05	0.37000003	0.55	0.15	0.2	2.4918005	303.0	136.33333	4.0	8.625	0.0	16.54862	5.0	139.0028259754181
24	2.7381036	1.2765397	4.1022224	0.0	130.66667	0.2888298	0.55	0.1	0.35625	0.55	0.1	0.2	2.6266904	301.0	122.791664	3.9166667	7.875	0.0	12.293017	5.0	146.07948112487793
25	3.142545	1.146906	4.4851685	0.2	136.41667	0.33168316	0.65000004	0.1	0.4	0.65000004	0.1	0.3	2.516809	266.0	127.0	4.2083335	9.416667	0.0	9.522247	5.25	151.68979573249817
26	3.2520516	1.0140562	4.140171	0.0	127.666664	0.30913463	0.65000004	0.05	0.385	0.65000004	0.1	0.15	2.6365955	262.0	119.208336	4.3333335	8.458333	0.0	8.490739	5.125	152.02168560028076
27	3.0607147	1.0689231	4.15	0.8888889	135.75	0.25392154	0.6	0.0	0.35	0.6	0.1	0.2	2.5332878	275.0	126.583336	4.25	9.166667	0.0	16.342863	5.2916665	154.15305733680725
28	3.3003426	1.0893778	4.0645976	0.2	129.25	0.27592593	0.55	0.0	0.32222223	0.55	0.05	0.2	2.6925561	234.0	119.458336	4.5	9.791667	0.0	14.154887	5.6666665	157.12140941619873
29	2.8031409	1.0981373	4.176842	0.89411765	153.125	0.26250002	0.55	0.05	0.34375	0.55	0.05	0.15	2.4836154	297.0	144.08333	4.0	9.041667	0.0	12.26117	4.8333335	148.33949613571167
30	3.2845833	1.0536832	4.2743893	0.0	130.79167	0.25809523	0.65000004	0.05	0.38333336	0.65000004	0.1	0.0	2.753263	263.0	119.291664	4.375	11.5	0.0	7.113465	5.75	151.98149633407593
31	3.1549046	1.0326852	4.2821054	0.90666664	141.66667	0.31650484	0.6	0.05	0.40000004	0.6	0.25	0.3	2.2358623	322.0	132.91667	4.2916665	8.75	0.0	12.076568	5.1666665	152.77728915214539
32	3.3247318	1.1440068	4.255131	0.2	120.041664	0.29766357	0.65000004	0.05	0.37142858	0.65000004	0.05	0.25	2.5301125	344.0	111.375	4.4583335	8.666667	0.0	16.571186	5.4166665	152.76816368103027
33	3.0498934	1.1147109	4.268425	0.9263158	154.33333	0.2955	0.65000004	0.0	0.38750002	0.65000004	0.2	0.1	2.8491998	273.0	146.08333	4.1666665	8.25	0.0	16.66718	5.0	151.35020685195923
34	3.1673439	1.2698758	4.4379487	0.2	141.95833	0.34950495	0.65000004	0.1	0.42777777	0.65000004	0.2	0.1	2.5686202	239.0	131.75	4.2083335	10.208333	0.0	11.663091	5.3333335	149.99048781394958
35	3.2222004	1.1391765	4.24634	0.2	125.625	0.28047618	0.55	0.0	0.355	0.55	0.05	0.15	2.3156328	288.0	116.458336	4.375	9.166667	0.0	7.8959136	5.1666665	155.39528584480286
36	3.3150826	0.74051523	4.1809525	0.96	120.583336	0.30405405	0.65000004	0.0	0.41250002	0.65000004	0.15	0.35	2.2426248	232.0	110.666664	4.625	9.916667	0.0	10.289982	5.625	157.34842944145203
37	3.547908	0.88197494	4.289393	0.2	97.791664	0.3450893	0.75	0.0	0.48000002	0.75	0.2	0.35	2.3830311	240.0	88.25	4.6666665	9.541667	0.0	7.7869477	5.75	153.29680275917053
38	3.4958198	1.205236	4.286753	0.2	97.166664	0.34766352	0.65000004	0.05	0.41875002	0.65000004	0.2	0.15	2.6991675	338.0	88.0	4.4583335	9.166667	0.0	10.047832	5.625	152.05430674552917
39	3.2989995	1.0264416	4.0882053	0.44210526	131.29167	0.28177568	0.6	0.0	0.41666666	0.6	0.25	0.1	3.1941621	324.0	121.291664	4.4583335	10.0	0.0	8.661417	5.6666665	151.76371598243713
40	3.4385097	1.1083796	4.3236275	0.0	113.625	0.29675925	0.6	0.0	0.40714285	0.6	0.1	0.35	2.2495348	295.0	103.875	4.5	9.75	0.0	8.12709	5.5416665	153.81124448776245
41	3.5201132	0.8977878	4.20309	0.9777778	114.583336	0.26936936	0.6	0.0	0.3388889	0.6	0.05	0.15	2.5482135	292.0	104.416664	4.625	10.166667	0.0	8.590245	5.5416665	154.25462412834167
42	2.4679978	1.5347997	4.243943	0.0	152.20833	0.30588236	0.6	0.05	0.45000002	0.6	0.2	0.25	2.3652349	252.0	144.83333	3.5416667	7.375	0.0	12.759937	4.2916665	138.92877912521362
43	3.703333	0.6512223	4.4087877	2.029804	130.375	0.35265487	0.65000004	0.0	0.5083334	0.65000004	0.3	0.15	2.630877	281.0	119.666664	4.7083335	10.708333	0.0	10.885182	6.0416665	157.02871179580688
44	3.039107	1.2901379	4.298539	0.0	132.375	0.35765308	0.8	0.05	0.51875	0.8	0.3	0.25	2.442931	205.0	122.833336	4.0833335	9.541667	0.0	10.266891	5.2916665	144.70877313613892
45	3.0128107	1.4571435	4.2894115	0.0	120.5	0.29896906	0.55	0.05	0.34166667	0.55	0.1	0.15	2.4304137	266.0	112.166664	4.0416665	8.333333	0.0	13.568798	5.0416665	147.1609387397766
46	3.3377228	1.0654978	4.4819107	0.44705883	121.708336	0.31121498	0.65000004	0.0	0.35625002	0.65000004	0.05	0.1	2.7255452	260.0	112.916664	4.4583335	8.791667	0.0	12.523697	5.0416665	157.40924835205078
47	3.6230345	0.81060135	4.408227	1.6285714	120.125	0.37276787	0.7	0.1	0.50714284	0.7	0.35	0.15	2.37943	277.0	109.083336	4.6666665	11.041667	0.0	8.906514	5.8333335	157.6827974319458
