Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.6616783	0.23838219	4.29634	3.2941177	36.458332	0.026972309	0.0066642347	0.48984715	-0.0064394153	0.19833334	0.45000002	0.0	0.29166666	0.2	2.5537002	422.0	23.833334	5.0	12.625	0.0	1.946139	6.4166665	165.28147888183594
2	3.768402	0.2077001	4.1568627	3.2470589	30.083334	0.0034784728	0.029934088	0.54895204	-0.01892105	0.21916668	0.45000002	0.0	0.2888889	0.15	2.416006	376.0	17.875	5.0	12.208333	0.0	1.5109991	6.75	167.06503224372864
3	3.794093	0.35230532	4.4194016	3.0	34.041668	0.010100576	0.06760818	0.54447275	-0.028915234	0.23041669	0.7	0.05	0.31875	0.2	2.4235156	277.0	19.916666	5.0	14.125	0.0	1.4950372	6.7083335	159.3391034603119
4	3.8003647	0.21673594	4.2290883	3.2444444	35.208332	0.010043713	0.09918728	0.5741474	-0.032670017	0.21541667	0.6	0.0	0.38333333	0.35	2.269658	347.0	21.833334	5.0	13.375	0.0	1.6638962	6.3333335	165.32796168327332
5	3.7889478	0.17981601	4.118538	3.25	33.916668	0.00038288068	0.10987938	0.59084207	-0.035649076	0.23875	0.5	0.0	0.36666667	0.35	2.2665257	272.0	21.75	5.0	12.166667	0.0	1.9127402	6.0833335	166.15249133110046
6	3.6645708	0.21999608	4.020392	3.2444444	33.208332	-0.0050554546	0.10654547	0.59481317	-0.035002317	0.16208334	0.45000002	0.0	0.23181818	0.25	2.42127	339.0	20.875	5.0	12.333333	0.0	1.7215091	6.25	162.01972889900208
7	3.8785496	0.25896302	4.423333	3.3066666	34.875	0.012816268	0.12518959	0.60176015	-0.04233331	0.22291666	0.55	0.0	0.32272726	0.25	2.6451163	305.0	21.458334	5.0	13.416667	0.0	1.6802441	6.5833335	165.14305710792542
8	3.7322814	0.21952192	4.269272	3.35	32.583332	0.012490657	0.11895462	0.599683	-0.042655636	0.22833334	0.5	0.05	0.3	0.1	2.660997	279.0	20.666666	5.0	11.916667	0.0	1.742721	6.1666665	163.01207637786865
9	3.8218582	0.23509215	4.294902	3.35	40.791668	-0.00024552215	0.13339558	0.569839	-0.038727563	0.26833335	0.6	0.0	0.38333333	0.4	2.2531817	297.0	29.041666	5.0	11.75	0.0	2.5743825	6.375	164.88413643836975
10	3.727876	0.21573123	4.168403	3.2470589	42.541668	0.005368738	0.124796115	0.5778948	-0.040960923	0.24875002	0.6	0.0	0.43	0.2	2.5100384	396.0	28.875	5.0	13.666667	0.0	2.3596706	6.0416665	166.45560765266418
11	3.7516086	0.23724675	4.4098687	3.3333333	45.083332	0.009498915	0.13913333	0.55264753	-0.040499624	0.26291665	0.55	0.0	0.39375	0.35	2.4319167	247.0	33.083332	5.0	12.0	0.0	2.856074	5.9583335	165.39958333969116
12	3.9233475	0.20811906	4.3157897	3.5033333	54.083332	0.034911364	0.10777244	0.48946884	-0.038921718	0.23791666	0.55	0.0	0.325	0.3	2.4050415	334.0	40.125	5.0	13.958333	0.0	2.926976	6.125	165.031747341156
13	3.7406166	0.20122486	4.063323	3.288889	59.375	0.013524126	0.10482129	0.4428824	-0.03820141	0.23125	0.45000002	0.0	0.3375	0.1	2.5236053	326.0	46.125	5.0	13.25	0.0	3.5028985	5.875	169.9508776664734
14	3.541832	0.741876	4.369123	1.7368422	90.75	0.050506175	0.10644889	0.5013898	-0.031290878	0.2442478	0.7	0.0	0.3909091	0.25	2.40218	300.0	74.291664	4.7083335	16.458334	0.0	4.4073176	5.9166665	166.81627798080444
15	3.8071067	0.28373343	4.1821733	3.288889	57.083332	0.0375074	0.14230627	0.61544317	-0.017584825	0.28083333	0.6	0.0	0.41875002	0.2	2.2698054	315.0	41.541668	5.0	15.541667	0.0	2.918579	6.5416665	170.31150031089783
