Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
25	3.8148258	0.18505746	4.1268024	3.510476	51.625	0.009213013	0.08505394	0.61643535	0.036272723	0.24	0.6	0.0	0.35625	0.4	2.41732	279.0	28.5	5.0	23.125	0.0	1.3903977	6.3333335	111.6558256149292
26	3.8704789	0.21368645	4.2656097	3.2615385	33.375	0.0056919674	0.09609995	0.6129884	0.036597606	0.30208334	0.7	0.0	0.40416667	0.2	2.403957	306.0	17.833334	5.0	15.541667	0.0	1.2419376	6.2916665	130.20313787460327
27	3.7965024	0.34643617	4.3836594	2.8524888	50.75	0.011970629	0.08534656	0.6367752	0.02884367	0.2710084	0.55	0.0	0.33333334	0.15	2.5450747	320.0	26.166666	4.9583335	24.583334	0.0	1.1280551	6.0833335	139.71343278884888
28	3.7982674	0.24704939	4.3913255	3.482353	39.708332	0.003452555	0.104084395	0.7855126	0.01866246	0.27083334	0.55	0.0	0.37857145	0.15	2.5793889	320.0	21.916666	5.0	17.791666	0.0	1.2374219	6.0	142.01482772827148
29	3.9134808	0.29261824	4.304183	3.2666667	35.416668	-0.004432069	0.115652435	0.80241585	0.016586045	0.27375	0.65000004	0.0	0.38500002	0.3	2.2780702	321.0	20.125	5.0	15.291667	0.0	1.4938698	6.4583335	140.42427396774292
30	3.8108075	0.19263573	4.1966667	3.2941177	34.375	-0.008214326	0.1429337	0.81017596	0.016991735	0.25416666	0.5	0.0	0.32142857	0.2	2.3491673	304.0	20.583334	5.0	13.791667	0.0	1.4803084	6.3333335	151.04763531684875
31	3.8718815	0.22705133	4.4012327	3.45	33.791668	-0.008325391	0.14947726	0.79445213	0.022973979	0.2625	0.6	0.05	0.39166668	0.2	2.597701	278.0	20.0	5.0	13.791667	0.0	1.5163759	6.2916665	138.72682881355286
32	3.826102	0.21472338	4.4328694	3.538562	34.458332	0.0024380728	0.16801167	0.80181193	0.035645697	0.27208334	0.55	0.0	0.4	0.15	2.4318562	288.0	20.916666	5.0	13.541667	0.0	1.6565219	6.3333335	136.53399515151978
33	3.8057678	0.23879524	4.30958	3.3142858	36.083332	-0.0050485204	0.1575516	0.7632084	0.037788425	0.25416666	0.55	0.0	0.39000002	0.3	2.3711019	286.0	21.458334	5.0	14.625	0.0	1.5229422	6.0833335	136.84211659431458
34	3.9019337	0.26161492	4.3174505	3.3714285	36.833332	-0.006642205	0.1544507	0.75915337	0.02907087	0.3070833	0.7	0.0	0.4357143	0.45000002	2.159338	184.0	23.875	5.0	12.958333	0.0	1.8515247	5.7916665	138.10056972503662
35	3.885028	0.2576637	4.4041023	3.2615385	36.041668	-0.023483118	0.16239913	0.7676441	0.023325967	0.30875003	0.7	0.0	0.41875	0.2	2.2961597	258.0	22.375	5.0	13.666667	0.0	1.6006178	5.625	138.18128609657288
36	3.8686125	0.26795074	4.44731	3.3333333	38.125	-0.020909345	0.17471336	0.74367434	0.028735787	0.31166667	0.7	0.05	0.4090909	0.15	2.5827978	241.0	23.75	5.0	14.375	0.0	1.7128116	5.8333335	138.2682785987854
37	3.8542836	0.20516323	4.230392	3.4970589	35.0	-0.021279106	0.18056177	0.7467976	0.023478514	0.25333336	0.6	0.0	0.3875	0.15	2.2980337	284.0	21.875	5.0	13.125	0.0	1.7099209	6.125	137.0482382774353
38	3.8236656	0.30445182	4.3961906	3.0	31.791666	-0.0512352	0.18178014	0.74155974	0.01700494	0.30791667	0.6	0.05	0.37999997	0.1	2.7555127	274.0	19.333334	5.0	12.458333	0.0	1.6049942	6.25	138.36810040473938
39	3.9646606	0.2772686	4.4521213	3.35	37.25	-0.015604976	0.19288504	0.7025597	0.024527436	0.34125	0.85	0.05	0.5142857	0.15	2.8616173	246.0	24.041666	5.0	13.208333	0.0	1.9674047	5.9166665	143.37555861473083
40	3.8582783	0.3082569	4.674813	3.2666667	39.583332	-0.006306415	0.17576027	0.70942813	0.0283606	0.3579167	0.85	0.1	0.50909096	0.55	2.0476422	211.0	27.75	5.0	11.833333	0.0	2.2602975	5.9166665	148.22031664848328
41	3.8863041	0.25095603	4.417156	3.45	43.666668	-0.01964443	0.17214854	0.7041302	0.03580402	0.32875	0.75	0.1	0.40500003	0.3	2.3087316	195.0	32.541668	5.0	11.125	0.0	3.018851	5.9166665	146.23648476600647
42	3.8358262	0.21768722	4.267451	3.4352942	38.458332	-0.033693094	0.18479662	0.7122279	0.037116367	0.27166665	0.55	0.05	0.32142857	0.3	2.173677	122.0	28.166666	5.0	10.291667	0.0	2.7199104	5.875	145.1313078403473
43	3.8956044	0.273417	4.665241	3.3142858	45.208332	-0.009189338	0.16940105	0.7296383	0.029624058	0.27916667	0.6	0.0	0.3875	0.1	2.333837	207.0	33.875	5.0	11.333333	0.0	3.1543343	5.7083335	132.87421035766602
44	3.8864257	0.2809553	4.3516483	3.2571428	44.041668	-0.01758924	0.17646758	0.6796856	0.039137464	0.3866667	0.75	0.05	0.49444443	0.4	2.1848934	254.0	33.541668	5.0	10.5	0.0	3.3185253	6.0	129.30763936042786
45	3.8970406	0.23084271	4.399394	3.5714285	48.625	0.024057763	0.15307707	0.6964397	0.036809314	0.34000003	0.65000004	0.0	0.45000005	0.35	2.1703346	199.0	36.0	5.0	12.625	0.0	3.1835668	5.5833335	138.65183424949646
46	3.8284905	0.23325755	4.3313284	3.2666667	45.333332	0.00250597	0.17424665	0.7201605	0.04574207	0.29874998	0.6	0.0	0.4357143	0.2	2.2918763	274.0	33.0	5.0	12.333333	0.0	3.2422094	5.5	131.34190201759338
47	3.9751606	0.30744395	4.517945	3.2727273	44.458332	-0.003395459	0.16649497	0.7797087	0.0357909	0.3691667	0.75	0.05	0.5	0.35	2.320903	258.0	33.5	5.0	10.958333	0.0	3.2452786	5.7083335	126.0585458278656
48	3.930128	0.24125844	4.3637257	3.3600001	54.5	-0.0040642903	0.10330648	0.7691733	0.0008277863	0.32874998	0.7	0.0	0.55	0.2	2.478044	256.0	44.541668	5.0	9.958333	0.0	4.699795	5.3333335	130.1765913963318
