Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Acc	MaxAcc	MinAcc	MaxTrialAcc	MaxMaxTrialAcc	MinMaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
29	3.3713465	1.0009139	4.3896728	0.84444445	143.04167	0.31111112	0.65000004	0.05	0.3888889	0.65000004	0.2	0.2	2.5215967	277.0	133.54167	4.5	9.5	0.0	13.943149	5.2916665	158.9102702140808
30	3.2278016	1.0641087	4.385546	0.96842104	137.45833	0.31519607	0.7	0.0	0.41666666	0.7	0.05	0.2	2.5956352	261.0	127.833336	4.25	9.625	0.0	10.175199	5.4166665	149.07258677482605
31	2.9861581	1.3485738	4.150476	0.0	144.91667	0.27371135	0.6	0.0	0.42857143	0.6	0.25	0.25	2.3132339	301.0	134.45833	4.0416665	10.458333	0.0	14.736912	5.2916665	145.92923140525818
32	3.2262135	1.3908383	4.3329825	0.0	139.75	0.30294117	0.7	0.05	0.41	0.7	0.1	0.3	2.2532325	267.0	129.95833	4.25	9.791667	0.0	12.907773	5.5	151.21443343162537
33	3.2045727	1.1637787	4.346516	0.44444445	131.20833	0.31586537	0.6	0.0	0.38636363	0.6	0.15	0.25	2.4671962	224.0	122.208336	4.3333335	9.0	0.0	12.810368	5.5416665	153.323876619339
34	2.7667277	1.3316077	4.422471	0.2	165.20833	0.34239128	0.65000004	0.05	0.4166667	0.65000004	0.05	0.3	2.1617491	232.0	156.5	3.8333333	8.708333	0.0	12.534846	5.1666665	152.33476161956787
35	3.0581245	1.1530278	4.4593263	0.56842107	152.45833	0.342	0.65000004	0.0	0.40833333	0.65000004	0.2	0.45000002	2.2376199	237.0	142.45833	4.1666665	10.0	0.0	12.98392	5.3333335	152.71669244766235
36	2.9651966	1.3160763	4.1343274	0.0	143.375	0.29898986	0.6	0.05	0.37142855	0.6	0.05	0.25	2.5375152	286.0	133.875	4.125	9.5	0.0	13.31792	5.125	151.30484819412231
37	3.1124344	1.175661	4.395689	0.0	132.41667	0.28960398	0.6	0.05	0.40625	0.6	0.15	0.1	2.5528026	237.0	123.666664	4.2083335	8.75	0.0	12.805363	5.375	148.19722294807434
38	3.3167937	1.1293473	4.2584414	0.0	124.166664	0.27571428	0.6	0.05	0.35454547	0.6	0.05	0.3	2.2130797	257.0	114.791664	4.375	9.375	0.0	9.455273	5.375	155.29754304885864
