Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	Loss	ClipFrac	Entropy	KL	Acc	MaxAcc	MinAcc	MaxTrialAcc	TestFinetuneAcc	TestFinetuneLoss	TestFinetuneParam	NumAlphaAdj	NumEstimations	NumEdgeTrav	NumIllegalEdgeTrav	NumAlphaAdjBeforeTrav	UniqueEdges	Time
1	3.705073	0.18696319	4.1443276	3.4105263	44.708332	0.017828492	0.022475248	0.72278816	-0.0038243302	0.19208334	0.45000002	0.0	0.2857143	0.15	2.4994724	348.0	34.166668	5.0	10.541667	0.0	3.4173374	5.7083335	138.75144934654236
2	3.6793354	0.24020432	4.1150327	3.2470589	33.666668	0.01048052	0.072505295	0.8491362	-0.0077955886	0.21458334	0.55	0.0	0.3416667	0.1	2.579963	290.0	21.708334	5.0	11.958333	0.0	1.8404261	6.0833335	135.99699187278748
3	3.7861526	0.20307517	4.176316	3.368421	31.875	-0.012093325	0.1116124	0.8494417	-0.02712605	0.23125	0.45000002	0.0	0.30714288	0.4	2.244366	362.0	19.916666	5.0	11.958333	0.0	1.7689381	6.3333335	135.1415297985077
4	3.7167842	0.22713116	4.170588	3.2941177	35.375	0.0027943477	0.121637486	0.84466696	-0.032161538	0.19958332	0.55	0.0	0.3357143	0.15	2.6428149	344.0	23.041666	5.0	12.333333	0.0	1.901877	5.9583335	137.21195673942566
5	3.6357365	0.253847	4.1755557	3.2444444	37.541668	-0.0076727136	0.12668127	0.8555309	-0.03473073	0.17166667	0.55	0.0	0.275	0.15	2.4534206	402.0	25.125	5.0	12.416667	0.0	2.085626	6.25	141.16978526115417
6	3.7364845	0.23230363	4.1501756	3.2444444	43.916668	0.017870808	0.115223646	0.8681614	-0.03180685	0.22250001	0.65000004	0.0	0.305	0.3	2.284256	261.0	33.458332	5.0	10.458333	0.0	3.2037773	5.9583335	143.60633516311646
7	3.7384198	0.2781716	4.364509	3.25	47.041668	-0.011416398	0.13016541	0.87788564	-0.04320321	0.23916668	0.55	0.0	0.39285713	0.2	2.4768088	412.0	37.0	5.0	10.041667	0.0	3.7815678	5.5416665	143.7389636039734
8	3.7207844	0.20058937	4.0356207	3.2444444	52.5	0.004410655	0.1576773	0.9206848	-0.055636656	0.20875	0.55	0.0	0.29583332	0.25	2.5075467	353.0	42.0	5.0	10.5	0.0	4.0521345	5.75	144.50161600112915
9	3.77446	0.18957385	4.1111765	3.488889	82.25	-0.0027157918	0.16580099	1.2925483	-0.06742038	0.19416668	0.5	0.0	0.3142857	0.2	2.47009	394.0	71.791664	5.0	10.458333	0.0	7.4573936	5.5	182.89144945144653
10	3.7573595	0.22081825	4.1184874	3.3	78.791664	-0.008816208	0.19530177	1.3779625	-0.073672384	0.19	0.5	0.0	0.27857143	0.25	2.4597976	378.0	69.333336	5.0	9.458333	0.0	7.7271657	5.4166665	250.6314823627472
11	3.8837774	0.2109132	4.4292984	3.568205	78.25	0.0116539225	0.15254766	1.408678	-0.06356195	0.28708333	0.65000004	0.05	0.3888889	0.3	2.3754766	346.0	67.958336	5.0	10.291667	0.0	6.693722	5.2916665	247.78328227996826
12	3.8796113	0.23390354	4.226316	3.3066666	95.875	-0.0062052817	0.1649854	1.4992704	-0.07769439	0.275	0.5	0.0	0.34090912	0.25	2.4741402	299.0	86.208336	5.0	9.666667	0.0	9.866123	5.2916665	274.4440417289734
13	3.753418	0.24481532	4.222689	3.2941177	86.208336	0.006042386	0.18146892	1.4590174	-0.07020841	0.2525	0.5	0.05	0.35	0.3	2.3107314	336.0	78.708336	5.0	7.5	0.0	10.486878	5.2916665	264.20915126800537
14	3.4351661	0.76484114	4.1714287	0.9777778	116.791664	0.0019595788	0.21286917	2.0155222	-0.0500394	0.25707963	0.55	0.05	0.375	0.3	2.4223888	336.0	108.583336	4.7083335	8.208333	0.0	14.815532	4.9166665	314.0576515197754
15	3.6164505	0.53452605	4.2733335	2.36	96.958336	0.0033783726	0.2056147	2.0531235	-0.028773628	0.23965518	0.45000002	0.0	0.35	0.25	2.4630747	346.0	88.833336	4.8333335	8.125	0.0	10.639062	5.0416665	288.4512119293213
16	3.7874024	0.29708865	4.197661	3.0	64.25	-0.024173746	0.2803128	1.9907619	-0.025099084	0.24166666	0.5	0.0	0.31875002	0.3	2.440862	321.0	56.25	5.0	8.0	0.0	7.211428	5.375	264.90906834602356
